com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
"C00352757","AMERICAN LEADERSHIP COUNCIL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00352757","","",,"$5,756.60",,"2014-07-21"
"C00553271","AMERICAN LEADERSHIP NOW (ALN PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00553271","","PETER T KING","$56,300.00","$34,570.30","$21,729.75","2014-12-31"
"C00495150","AMERICAN LIBERTY AND NATION PAC (ALAN PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00495150","","NUNNELEE JOINT FUNDRAISING COMMITTEE","$98,800.00","$94,664.40","$10,923.50","2014-12-31"
"C00439521","AMERICAN SECURITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00439521","ROGERS, MIKE","ROGERS","$110,500.00","$106,299.40","$7,441.84","2014-12-31"
"C00383422","AMERICANS FOR REPUBLICAN LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00383422","LANCE, LEONARD","LANCE","$28,500.00","$13,300.00","$19,900.00","2014-12-31"
"C00375378","AMERICANS NATIONWIDE DEDICATED TO ELECTING REPUBLICANS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00375378","","HON. ANDER CRENSHAW","$150,500.00","$177,240.90","$7,688.19","2014-12-31"
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?C00271338","HOYER, STENY","HOYER","$2,284,242.00","$2,593,085.80","$772,314.07","2014-12-31"
"C00527846","ANN MARIE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00527846","","ANN MARIE BUERKLE",,"$6,072.80","$4,630.96","2014-12-31"
"C00531764","ANN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00531764","","","$264,395.00","$241,227.70","$24,167.32","2014-12-31"
"C00540062","ANNIEPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540062","KUSTER, ANNIE","KUSTER","$22,600.00","$22,319.10","$305.94","2014-12-31"
"C00524777","APAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00524777","","",,"$10,262.80",,"2013-12-31"
"C00553586","ARAB AMERICAN POLITICAL ACTION COMMITTEE OF MARYLAND","http://docquery.fec.gov/cgi-bin/fecimg/?C00553586","","","$14,000.00","$13,248.00",,"2014-12-31"
"C00416404","ARCH LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00416404","","RUSS CARNAHAN FOR CONGRESS","$15,500.00","$43,568.40","$811.75","2014-12-31"
"C00413948","ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00413948","BOOZMAN, SEN. JOHN","BOOZMAN","$390,251.10","$386,522.10","$42,344.71","2014-12-31"
"C00461624","ARTICLE 1 POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00461624","","MR JOHN A YARMUTH","$91,500.00","$68,388.00","$36,231.47","2014-12-31"
"C00552489","AT THE TABLE!","http://docquery.fec.gov/cgi-bin/fecimg/?C00552489","","GRACE MENG","$19,665.00","$10,302.20","$9,362.79","2014-12-31"
"C00545277","ATTAIN LLC PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00545277","","",,,,"2014-12-15"
"C00506535","AX PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00506535","","SEAN DUFFY","$129,739.00","$101,802.60","$28,926.90","2014-12-31"
"C00382242","BADGERPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00382242","KIND, RONALD","KIND","$426,145.00","$429,203.10","$23,132.58","2014-12-31"
"C00543207","BADLANDS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00543207","CRAMER, KEVIN","CRAMER","$74,500.20","$68,779.40","$5,720.77","2014-12-31"
"C00364596","BATTLE BORN POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00364596","ENSIGN, JOHN E","SENATE MAJORITY COMMITTEE 2008",,"$15,153.50",,"2013-06-30"
"C00411850","BECAUSE ALL RESPONSIBLE TAXPAYERS LIKE EVERY TRUTH TOLD PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00411850","BARTLETT, ROSCOE G. REP.","BARTLETT","$300.00","$3,988.50",,"2013-03-22"
"C00559146","BELIEVE IN LIFE LIBERTY YOURSELF AKA BILLY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00559146","","","$74,889.60","$61,383.10","$13,506.44","2014-12-31"
"C00503581","BETTER LEADERSHIP - BETTER AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00503581","RIGELL, EDWARD SCOTT","RIGELL","$34,651.00","$32,306.20","$4,322.21","2014-12-31"
"C00483727","BIG RED POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00483727","TERRY, LEE","TERRY","$123,318.60","$140,478.40","$9,048.69","2014-12-31"
"C00542027","BIG SKY OPPORTUNITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00542027","","STEVE DAINES FOR MONTANA","$101,847.00","$78,648.10","$23,198.85","2014-12-31"
"C00285098","BIG TENT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00285098","SPECTER, ARLEN","SPECTER",,"$21,820.30",,"2013-12-31"
"C00412288","BILL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00412288","","WILLIAM F SHUSTER","$1,002,917.70","$924,710.30","$167,896.30","2014-12-31"
"C00527275","BILL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00527275","","BILL FLORES","$12,253.50","$14,188.20","$1,515.73","2014-12-31"
"C00505636","BISHOP PAC BUILDING INFRASTRUCTURE HARNESSING OUR PRIORITIES","http://docquery.fec.gov/cgi-bin/fecimg/?C00505636","BISHOP, TIMOTHY","BISHOP","$45,500.00","$23,293.00","$22,598.15","2014-12-31"
"C00493700","BLUE HEN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00493700","COONS, CHRISTOPHER","COONS","$420,705.00","$408,463.50","$22,889.03","2014-12-31"
"C00529693","BLUE MAJORITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00529693","POCAN, MARK","POCAN","$118,500.00","$93,438.90","$31,220.14","2014-12-31"
"C00235655","BLUEGRASS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00235655","MCCONNELL, MITCH","MCCONNELL","$1,128,851.80","$1,361,659.60","$139,152.02","2014-12-31"
"C00393603","BOOT PAC AKA BUILDING OUR OPPORTUNITIES TOGETHER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00393603","REHBERG, DENNIS","","$1,090.00","$4,448.30",,"2013-08-30"
"C00567545","BOOTS POLICITAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00567545","MULLIN, MARKWAYNE","MULLIN","$5,000.00","$15.00","$4,985.00","2014-12-31"
"C00430819","BORN FIGHTING PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00430819","","","$158,485.70","$92,917.00","$68,895.22","2014-12-31"
"C00433177","BOSPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00433177","BOSWELL, LEONARD","BOSWELL","$5.40","$5,447.00",,"2014-12-03"
"C00430579","BRAVE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00430579","SCOTT, DAVID","SCOTT","$98,355.00","$70,531.10","$30,141.14","2014-12-31"
"C00483487","BRETTPAC-THE LEADERSHIP PAC OF U.S.REPRESENATIVE BRETT GUTHRIE","http://docquery.fec.gov/cgi-bin/fecimg/?C00483487","","","$140,583.40","$145,121.70","$19,838.14","2014-12-31"
"C00568709","BRIDGING THE GAP","http://docquery.fec.gov/cgi-bin/fecimg/?C00568709","","DEBRA S FISCHER","$25.00","$4.80","$20.23","2014-12-31"
"C00529834","BRIGHTER FUTURES PAC (BF PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00529834","FARENTHOLD, RANDOLPH BLAKE","FARENTHOLD","$17,900.00","$14,863.60","$3,476.23","2014-12-31"
"C00405050","BRINGING EVERYONE TOGETHER THROUGH ADVOCACY","http://docquery.fec.gov/cgi-bin/fecimg/?C00405050","MCCOLLUM, BETTY","MCCOLLUM","$109,350.00","$112,877.10","$7,786.78","2014-12-31"
"C00448472","BRINGING LEADERSHIP BACK PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00448472","BRALEY, BRUCE","BRALEY","$184,730.00","$184,834.30","$184.73","2014-12-31"
"C00366781","BUCKEYE LIBERTY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00366781","JORDAN, JAMES","JORDAN","$80,250.00","$127,317.90","$24,470.60","2014-12-31"
"C00491183","BUDGETHAWKS.COM","http://docquery.fec.gov/cgi-bin/fecimg/?C00491183","","BEEHIVE VICTORY FUND","$156,663.30","$121,300.40","$51,956.73","2014-12-31"
"C00377143","BUILD AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00377143","MEEKS, GREGORY","MEEKS","$140,805.10","$105,256.20","$54,262.70","2014-12-31"
"C00412221","BUILDING A MAJORITY PAC (BAMPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00412221","MIKULSKI, BARBARA","MIKULSKI","$339,100.00","$322,262.40","$62,548.10","2014-12-31"
"C00553883","BUILDING AMERICAN CONSERVATISM PAC AKA GO BY BAC PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00553883","WEBER, RANDY","WEBER","$2,800.00","$208.40","$2,591.63","2014-12-31"
"C00505693","BUILDING EFFECTIVE RESPONSIBLE GOVERNMENT PAC (BERG PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00505693","BERG, RICHARD","BERG","$10,000.00","$4,900.00","$44,252.00","2014-12-31"
"C00489427","BUILDING LEADERSHIP AND INSPIRING NEW ENTERPRISE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00489427","LUETKEMEYER, W BLAINE","LUETKEMEYER","$78,250.00","$64,960.90","$17,293.35","2014-12-31"
"C00510248","BUILDING OUR BASE - BOB PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00510248","","MR ROBERT B GIBBS","$25,000.00","$28,070.10","$14,867.72","2014-12-31"
"C00399196","BUILDING RELATIONSHIPS IN DIVERSE GEOGRAPHIC ENVIRONMENTS PAC (BRIDGE PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00399196","CLYBURN, JAMES E","CLYBURN","$1,323,963.60","$1,203,316.00","$277,332.68","2014-12-31"
"C00347443","CACTUS POLITICAL ACTION COMMITTEE (PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00347443","PASTOR, ED L","","$12,005.80","$7,078.00","$28,383.83","2014-12-31"
"C00491985","CAJUN POLITICAL ACTION COMMITTEE (CAJUNPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00491985","","CONGRESSMAN JEFF LANDRY (SPONSOR)",,"$121.00","$1,288.74","2014-12-31"
"C00359430","CALPAC - CALIFORNIA AGGRESSIVE LEADERSHIP","http://docquery.fec.gov/cgi-bin/fecimg/?C00359430","","THE HONORABLE JOE BACA","$5,150.00","$18,906.20",,"2014-06-30"
"C00386300","CALUMET PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00386300","VISCLOSKY, PETER","","$133,500.00","$101,732.30","$53,206.50","2014-12-31"
"C00441501","CAMPAIGN FOR CHANGE","http://docquery.fec.gov/cgi-bin/fecimg/?C00441501","","","$171,215.20","$776,742.40","$67,354.23","2014-12-31"
"C00409508","CAMPAIGN FOR OUR COUNTRY","http://docquery.fec.gov/cgi-bin/fecimg/?C00409508","KERRY, JOHN","KERRY","$10.40","$28,079.40",,"2013-07-25"
"C00388959","CAP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00388959","MCCARTHY, REP. CAROLYN","MCCARTHY","$3,000.00","$5,848.70",,"2014-11-24"
"C00506907","CAPAC LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00506907","","JUDY CHU","$90,154.90","$91,062.10","$5,236.98","2014-12-31"
"C00341990","CAROLYN'S PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00341990","","","$115,700.00","$94,590.20","$58,359.46","2014-12-31"
"C00544411","CATALYST PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00544411","RADEL, HENRY","RADEL","$18,872.00","$6,179.20","$12,692.87","2014-12-31"
"C00440024","CHAMPIONS OF AMERICAN FREEDOM PAC (CAFPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00440024","MCCOTTER, THADDEUS G MR.","",,"$8,503.80",,"2013-06-30"
"C00540906","CHERPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540906","","CHERI BUSTOS","$23,500.00","$18,751.30","$4,748.67","2014-12-31"
"C00492819","CHESAPEAKE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00492819","HARRIS, ANDREW","HARRIS","$126,000.00","$129,599.70","$13,643.76","2014-12-31"
"C00469411","CHUTZPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00469411","","HOWARD L BERMAN","$13,336.30","$32,314.50","$3,295.78","2014-12-31"
"C00491654","CITIZENS FOR PROSPERITY IN AMERICA TODAY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00491654","","PATRICK JOSEPH TOOMEY","$1,177,237.80","$1,091,224.40","$118,898.53","2014-12-31"
"C00524322","CITIZENS STRENGTHENING OUR MAJORITY IN THE HOUSE (C SMITH PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00524322","","CHRIS SMITH","$7,458.40","$2,798.00","$4,903.77","2014-12-31"
"C00564260","CLEAN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00564260","","JARED HUFFMAN","$149,542.90","$100,194.40","$50,066.54","2014-12-31"
"C00469429","CMR POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00469429","","THE MCMORRIS RODGERS AMERICAN DREAM PROJECT","$757,719.50","$756,271.80","$6,678.97","2014-12-31"
"C00400457","COME BACK POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00400457","","TIM MURPHY","$62,950.00","$59,939.40","$8,316.72","2014-12-31"
"C00427286","COMMERCE, HOPE, INNOVATION & PROGRESS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00427286","","",,,,"2014-12-31"
"C00485565","COMMITTED TO PROTECTING OUR COUNTRY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00485565","","CHRISTOPHER P CARNEY",,,,""
"C00451609","COMMITTED TO WIN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00451609","HASTINGS FOR CONGRESS, HASTINGS FOR CONGRES","HASTINGS FOR CONGRESS","$5,000.00","$15,530.00","$5,655.45","2014-12-31"
"C00370122","COMMITTEE FOR A DEMOCRATIC FUTURE","http://docquery.fec.gov/cgi-bin/fecimg/?C00370122","DELAURO, ROSA L","DELAURO","$121,682.80","$129,053.40","$4,418.94","2014-12-31"
"C00323352","COMMITTEE FOR A LIVABLE FUTURE","http://docquery.fec.gov/cgi-bin/fecimg/?C00323352","BLUMENAUER, EARL","BLUMENAUER","$242,834.70","$250,116.70","$29,033.44","2014-12-31"
"C00366666","COMMITTEE FOR LEADERSHIP AND PROGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?C00366666","LOWEY, NITA","","$115,300.00","$115,542.00","$22,751.96","2014-12-31"
"C00196824","COMMITTEE FOR PROGRESSIVE CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?C00196824","OBEY, DAVID","",,"$2,457.50","$19,276.08","2014-12-31"
"C00362236","COMMITTEE FOR SOUTHWEST VIRGINIA","http://docquery.fec.gov/cgi-bin/fecimg/?C00362236","BOUCHER, FREDERICK C","BOUCHER","$25,046.50","$798.20","$258,175.80","2014-12-31"
"C00492165","COMMITTEE TO STRENGTHEN AMERICA; THE","http://docquery.fec.gov/cgi-bin/fecimg/?C00492165","ANDREWS, ROBERT E. MR.","ANDREWS","$74,000.00","$59,143.60","$83,791.21","2014-12-31"
"C00542746","COMMON GOOD FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00542746","","JAMES MCDERMOTT","$39,000.00","$33,844.80","$5,155.18","2014-12-31"
"C00491936","COMMON SENSE COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?C00491936","","MICHAEL BENNET","$979,936.80","$903,237.20","$99,251.17","2014-12-31"
"C00345058","COMMON SENSE COMMON SOLUTIONS POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00345058","GRANGER, KAY","GRANGER","$87,500.00","$59,381.80","$36,626.29","2014-12-31"
"C00491142","COMMON SENSE DEMOCRAT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00491142","","STEPHEN F LYNCH","$13,000.00","$75.00","$17,850.00","2014-12-31"
"C00442368","COMMON VALUES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00442368","","BARRASSO VICTORY COMMITTEE","$751,026.30","$654,489.10","$186,782.56","2014-12-31"
"C00498931","COMMONWEALTH PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00498931","","","$76,000.00","$54,542.70","$28,682.95","2014-12-31"
"C00540989","COMMUNITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540989","","HENRY C "HANK" JOHNSON JR","$50.00",,"$50.00","2014-12-31"
"C00481176","CONCERNED AMERICANS FOR FREEDOM & OPPORTUNITY PAC (CAFO PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00481176","SMITH, ADRIAN","SMITH","$123,002.80","$117,579.30","$15,072.04","2014-12-31"
"C00554535","CONGRESSIONAL HOUSE REPUBLICANS IN SERVICE PAC (CHRIS PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00554535","","COLLINS VICTORY FUND","$53,523.10","$50,386.80","$3,136.25","2014-12-31"
"C00117721","CONGRESSIONAL MAJORITY COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00117721","","",,"$122,676.40",,"2014-12-31"
"C00427401","CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00427401","CARTER, JOHN R.","CARTER","$51,300.00","$61,086.50","$3,527.56","2014-12-31"
"C00488155","CONSERVATIVE AMERICAN NETWORK DELIVERING INCREASED CONGRESSIONAL EXCELLENCE (CANDICE-PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00488155","MILLER, CANDICE","MILLER","$91,039.80","$84,299.10","$21,667.46","2014-12-31"
"C00388223","CONSERVATIVE LEADERSHIP FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00388223","FORBES, J. RANDY","FORBES","$40,000.00","$36,244.40","$19,406.19","2014-12-31"
"C00409458","CONSERVATIVE OPPORTUNITIES FOR A NEW AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00409458","","CONAWAY MAJORITY FUND","$321,200.00","$311,247.00","$29,179.34","2014-12-31"
"C00404392","CONSERVATIVE OPPURTUNITY LEADERSHIP AND ENTERPRISE PAC (COLE PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00404392","","TOM COLE","$316,663.60","$326,028.10","$25,765.06","2014-12-31"
"C00428839","CONSERVATIVE PRINCIPLES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00428839","","STEVEN KING","$29,025.00","$20,191.40","$13,114.81","2014-12-31"
"C00549725","CONSERVATIVE ROUNDTABLE","http://docquery.fec.gov/cgi-bin/fecimg/?C00549725","","THE HOLDING VICTORY FUND","$100,306.10","$89,750.20","$10,555.91","2014-12-31"
"C00502187","CONSERVATIVES RESTORING EXCELLENCE (CRE-PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00502187","ELLMERS, RENEE","ELLMERS","$56,625.00","$55,876.40","$2,730.50","2014-12-31"
"C00497362","CONSTITUTIONAL CONSERVATIVES FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00497362","LEE, MIKE","LEE","$75,871.00","$78,389.00","$20,327.50","2014-12-31"
"C00350462","CONTINUING A MAJORITY PARTY ACTION COMMITTEE (CAMPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00350462","","DAVID LEE CAMP","$682,918.80","$723,377.60","$53,405.52","2014-12-31"
"C00525592","COOL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00525592","WEBSTER, DANIEL","WEBSTER","$44,351.00","$32,982.80","$25,868.20","2014-12-31"
"C00445908","CORAL REEF PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00445908","","CLARKE FOR CONGRESS",,,,""
"C00457705","COUNTRY FIRST POLITICAL ACTION COMMITTEE INC. (COUNTRY FIRST PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00457705","","PATRIOT FIRST PAC","$863,911.00","$1,165,385.30","$231,611.18","2014-12-31"
"C00484402","COUNTRY ROADS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00484402","MANCHIN, JOE","MANCHIN","$561,987.10","$341,305.30","$262,191.74","2014-12-31"
"C00522060","DAGNY POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00522060","","CYNTHIA LUMMIS","$4,500.00","$730.00","$5,679.00","2014-12-31"
"C00493072","DAKOTA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00493072","HOEVEN, JOHN","HOEVEN","$230,786.30","$222,954.20","$8,240.98","2014-12-31"
"C00536607","DAKOTA PRAIRIE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00536607","","HEIDI HEITKAMP","$590,854.00","$540,419.30","$50,434.69","2014-12-31"
"C00364356","DAKPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00364356","","KENT CONRAD",,,,""
